wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
lb/ac-ft,,,,,,ug/L,x * 367.7311837,x / 367.7311837,lb/ac-ft,
lb/acre/yr,,,,,,mg/m2/day,x * 0.306871065,x / 0.306871065,lb/acre/yr,
lb/day/mi2,,,,,,lb/day/mi2,x,x,lb/day/mi2,
lb/ft2,,,,,,lb/ft2,x,x,lb/ft2,
lb/ft3,,,,,,lb/ft3,x,x,lb/ft3,
lb/hr,,,,,,lb/day,x * 24,x / 24,lb/hr,
lb/in,,,,,,lb/in,x,x,lb/in,
lb/kgal|lbs/kgal,,,,,,lbs/kgal,x,x,lb/kgal|lbs/kgal,
lb/min,,,,,,lb/day,x * 1440,x / 1440,lb/min,
lb/sec,,,,,,lb/day,x * 86400,x / 86400,lb/sec,
lm/ft2,,,,,,lm/m2,x * 10.76391042,x / 10.76391042,lm/ft2,
lm/m2,,,,,,lm/m2,x,x,lm/m2,
loc-sec,,,,,,loc-sec,x,x,loc-sec,
log10 copies,,,,,,log10 copies,x,x,log10 copies,
lumens,,,,,,lm/m2,x * 10.76391042,x / 10.76391042,lumens,
m/sec,,,,,,m/sec,x,x,m/sec,
m/y,,,,,,m/y,x,x,m/y,
m2,,,,,,m2,x,x,m2,
m2/g,,,,,,m2/g,x,x,m2/g,
m2/km2,,,,,,m2/km2,x,x,m2/km2,
m3,,,,,,m3,x,x,m3,
m3/day,,,,,,m3/day,x,x,m3/day,
m3/hr,,,,,,cfs,x * 0.009809631,x / 0.009809631,m3/hr,
m3/min,,,,,,cfs,x * 0.588577833,x / 0.588577833,m3/min,
m3/month,,,,,,m3/month,x,x,m3/month,
m3/sec,,,,,,cfs,x * 35.31467,x / 35.31467,m3/sec,
m3/week,,,,,,m3/week,x,x,m3/week,
m3/yr,,,,,,m3/yr,x,x,m3/yr,
mCi,,,,,,mSv,x * 5,x / 5,mCi,
mCi/km2,,,,,,mCi/km2,x,x,mCi/km2,
meq,,,,,,meq,x,x,meq,
mEq/100g,,,,,,mEq/100g,x,x,mEq/100g,
meq/kg,,,,,,meq/kg,x,x,meq/kg,
meq/L|meq/l,,,,,,meq/L,x,x,meq/L|meq/l,
metric ton,,,,,,g,x * 1000000,x / 1000000,metric ton,
MFL,,,,,,MFL,x,x,MFL,
mg,,,,,,g,x * 0.001,x / 0.001,mg,
Mg/100cm2/d,,,,,,Mg/100cm2/d,x,x,Mg/100cm2/d,
mg/100g,,,,,,ug/kg,x * 10000,x / 10000,mg/100g,
mg/cm2,,,,,,ug/cm2,x * 1000,x / 1000,mg/cm2,
mg/cm3,,,,,,ug/L,x * 1000000,x / 1000000,mg/cm3,
mg/day,,,,,,lb/day,x * 0.0000022,x / 0.0000022,mg/day,
mg/dm2/day,,,,,,mg/dm2/day,x,x,mg/dm2/day,
mg/dm2/month,,,,,,mg/dm2/month,x,x,mg/dm2/month,
mg/g,,,,,,ug/kg,x * 1000000,x / 1000000,mg/g,
mg/g/hr,,,,,,mg/g/hr,x,x,mg/g/hr,
mg/hr,,,,,,lb/day,x * 0.0000529,x / 0.0000529,mg/hr,
mg/kg,,,,,,ug/kg,x * 1000,x / 1000,mg/kg,
mg/L/hr|mg/l/hr,,,,,,mg/m3/day,x * 41.6666667,x / 41.6666667,mg/L/hr|mg/l/hr,
mg/m2,,,,,,g/m2,x * 0.001,x / 0.001,mg/m2,
mg/m2/day,,,,,,mg/m2/day,x,x,mg/m2/day,
mg/m2/hr,,,,,,mg/m2/day,x * 24,x / 24,mg/m2/hr,
mg/m3,,,,,,ug/L,x,x,mg/m3,
mg/m3/day,,,,,,mg/m3/day,x,x,mg/m3/day,
mg/m3/hr,,,,,,mg/m3/day,x * 24,x / 24,mg/m3/hr,
mg/min,,,,,,lb/day,x * 0.003174657,x / 0.003174657,mg/min,
mg/mL|mg/ml,,,,,,ug/L,x * 1000000,x / 1000000,mg/mL|mg/ml,
mg/sec,,,,,,lb/day,x * 0.190479427,x / 0.190479427,mg/sec,
Mgal,,,,,,m3,x * 3785.412,x / 3785.412,Mgal,
Mgal/day,,,,,,Mgal/day,x,x,Mgal/day,
Mgal/mnth|Mgal/month,,,,,,cfs,x * 0.050832971,x / 0.050832971,Mgal/mnth|Mgal/month,
Mgal/year,,,,,,cfs,x * 0.004236081,x / 0.004236081,Mgal/year,
Mgm/day,,,,,,Mgm/day,x,x,Mgm/day,
mho/cm,,,,,,uS/cm,x * 1000000,x / 1000000,mho/cm,
micron,,,,,,m,x * 0.000001,x / 0.000001,micron,
millibar,,,,,,g/m2,x * 10197.16213,x / 10197.16213,millibar,
milliMolar,,,,,,mmol/L,x * 0.001,x / 0.001,milliMolar,
Min,,,,,,Deg,x / 60,x * 60,Min,
minutes,,,,,,minutes,x,x,minutes,
mL/cm2/day|ml/cm2/day,,,,,,mL/cm2/day,x,x,mL/cm2/day|ml/cm2/day,
ML/day|Ml/day,,,,,,ML/day,x,x,ML/day|Ml/day,
mL/L/hr|ml/l/hr,,,,,,mL/L/hr,x,x,mL/L/hr|ml/l/hr,
mL/m3|ml/m3,,,,,,ppm,x,x,mL/m3|ml/m3,
mL/min|ml/min,,,,,,mL/min,x,x,mL/min|ml/min,
mL/sec|ml/sec,,,,,,cfs,x * 35.31466672,x / 35.31466672,mL/sec|ml/sec,
mL|ml,,,,,,m3,x * 0.000001,x / 0.000001,mL|ml,
mm,,,,,,m,x * 0.001,x / 0.001,mm,
mm/day,,,,,,mm/day,x,x,mm/day,
mm/g,,,,,,mm/g,x,x,mm/g,
mm/hr,,,,,,mm/hr,x,x,mm/hr,
mm/sec,,,,,,mm/sec,x,x,mm/sec,
mm2,,,,,,m2,x * 0.000001,x / 0.000001,mm2,
mm3,,,,,,m3,x * 0.000000001,x / 0.000000001,mm3,
mm3/L|mm3/l,,,,,,mm3/L,x,x,mm3/L|mm3/l,
mmH2O,,,,,,mmH2O,x,x,mmH2O,
mmHg,,,,,,mmHg,x,x,mmHg,
mmhos/cm,,,,,,mmhos/cm,x,x,mmhos/cm,
mmol/kg,,,,,,mmol/kg,x,x,mmol/kg,
mmol/L|mmol/l,,,,,,mmol/L,x,x,mmol/L|mmol/l,
mmol/m2,,,,,,mmol/m2,x,x,mmol/m2,
mmol/m2/dy,,,,,,mmol/m2/dy,x,x,mmol/m2/dy,
mmol/m2/hr,,,,,,mmol/m2/dy,x * 24,x / 24,mmol/m2/hr,
mmol/mg,,,,,,umol/kg,x * 1000000000,x / 1000000000,mmol/mg,
mmyy,,,,,,mmyy,x,x,mmyy,
