Sample ID,Sample Date,Lab,Analysis Date,Parameter,Result,Unit,RL,MDL,Method,Sample Depth m
PH2,06/21/23,UMWL,07/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.17,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH2,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.29,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH2,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.34,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH2,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.23,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH2,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.52,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,06/21/23,UMWL,07/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.56,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.38,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH3,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
PKT42,05/24/23,UMWL,06/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.16,MG/L,0.1,0.073,SM4500NE_2021,0.2
PKT42,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
PKT42,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.33,MG/L,0.1,0.073,SM4500NE_2021,0.2
PRV70,06/29/23,UMWL,08/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.39,MG/L,0.1,0.073,SM4500NE_2021,0.2
PRV70,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.44,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.29,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.19,MG/L,0.1,0.073,SM4500NE_2021,0.2
PYC43,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.30,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,06/21/23,UMWL,07/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.19,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.28,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.30,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRC46,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.29,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,05/24/23,UMWL,06/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.47,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.48,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.72,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,08/17/23,UMWL,10/23/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.53,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,09/07/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.48,MG/L,0.1,0.073,SM4500NE_2021,0.2
RRY47,10/03/23,UMWL,11/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.37,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,06/21/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.31,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.30,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.29,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
SMT50,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
STR54,05/24/23,UMWL,06/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.58,MG/L,0.1,0.073,SM4500NE_2021,0.2
