wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
mg/sec,,,,,,lb/day,x * 0.190479427,
Mgal,,,,,,m3,x * 3785.412,
Mgal/day,,,,,,Mgal/day,x,
Mgal/mnth|Mgal/month,,,,,,cfs,x * 0.050832971,
Mgal/year,,,,,,cfs,x * 0.004236081,
Mgm/day,,,,,,Mgm/day,x,
mho/cm,,,,,,uS/cm,x * 1000000,
micron,,,,,,m,x * 0.000001,
millibar,,,,,,g/m2,x * 10197.16213,
milliMolar,,,,,,mmol/L,x * 0.001,
Min,,,,,,Deg,x / 60,
minutes,,,,,,minutes,x,
mL/cm2/day|ml/cm2/day,,,,,,mL/cm2/day,x,
ML/day|Ml/day,,,,,,ML/day,x,
mL/L/hr|ml/l/hr,,,,,,mL/L/hr,x,
mL/m3|ml/m3,,,,,,ppm,x,
mL/min|ml/min,,,,,,mL/min,x,
mL/sec|ml/sec,,,,,,cfs,x * 35.31466672,
mL|ml,,,,,,m3,x * 0.000001,
mm,,,,,,m,x * 0.001,
mm/day,,,,,,mm/day,x,
mm/g,,,,,,mm/g,x,
mm/hr,,,,,,mm/hr,x,
mm/sec,,,,,,mm/sec,x,
mm2,,,,,,m2,x * 0.000001,
mm3,,,,,,m3,x * 0.000000001,
mm3/L|mm3/l,,,,,,mm3/L,x,
mmH2O,,,,,,mmH2O,x,
mmHg,,,,,,mmHg,x,
mmhos/cm,,,,,,mmhos/cm,x,
mmol/kg,,,,,,mmol/kg,x,
mmol/L|mmol/l,,,,,,mmol/L,x,
mmol/m2,,,,,,mmol/m2,x,
mmol/m2/dy,,,,,,mmol/m2/dy,x,
mmol/m2/hr,,,,,,mmol/m2/dy,x * 24,
mmol/mg,,,,,,umol/kg,x * 1000000000,
mmyy,,,,,,mmyy,x,
Molal,,,,,,mmol/kg,x * 1000,
Molar,,,,,,mmol/L,x * 1000,
Mole/L|Mole/l,,,,,,mmol/L,x * 1000,
months,,,,,,minutes,x * 43830,
mosm/kg,,,,,,umol/kg,x * 1000,
mph,,,,,,m/sec,x * 0.44704,
MPN,,,,,,CFU,x,
MPN/100g,,,,,,cfu/100g,x,
MPN/100L|MPN/100l,,,,,,cfu/100mL,x * 1000,
MPN/g,,,,,,cfu/100g,x * 0.01,
MPN/L|MPN/l,,,,,,cfu/100mL,x * 10,
mrem,,,,,,mSv,x * 0.01,
mrem/day,,,,,,mrem/day,x,
mrem/yr,,,,,,mrem/day,x * 0.002737851,
ms,,,,,,minutes,x / 60000,
mS/m,,,,,,mS/m,x,
MSC,,,,,,MSC,x,
mSv,,,,,,mSv,x,
MT/km2/yr,,,,,,mg/m2/day,x * 2.737850787,
mV,,,,,,volts,x * 0.001,
Mw,,,,,,Mw,x,
nCi/L|nCi/l,,,,,,pCi/L,x * 1000,
ng,,,,,,g,x * 0.000000001,
ng/cm2,,,,,,ug/cm2,x * 0.001,
ng/cm3,,,,,,ug/L,x,
ng/kg,,,,,,ug/kg,x * 0.001,
ng/m2,,,,,,g/m2,x * 0.000000001,
ng/m2/day,,,,,,ng/m2/day,x,
ng/m3,,,,,,ug/L,x * 0.000001,
ng/mL|ng/ml,,,,,,ng/mL,x,
ng/uL,,,,,,ug/L,x * 1000,
nm,,,,,,m,x * 0.000000001,
nmi,,,,,,m,x * 1852,
nmi2,,,,,,m2,x * 3429904,
nmol/g DW/h,,,,,,nmol/g DW/h,x,
nmol/hr/g,,,,,,nmol/hr/g,x,
nmol/kg,,,,,,mmol/kg,x * 0.000001,
nmol/L|nmol/l,,,,,,nmol/L,x,
nmol/m3,,,,,,nmol/m3,x,
Normal,,,,,,Normal,x,
ohm,,,,,,umho,x * 1000000,
ohm-cm,,,,,,ohm-m,x * 0.01,
ohm-m,,,,,,ohm-m,x,
oz,,,,,,g,x * 28.34952313,
Pascal,,,,,,g/m2,x * 101.9716213,
pCi,,,,,,mSv,x,
pCi/g,,,,,,pCi/g,x,
pCi/L|pCi/l,,,,,,pCi/L,x,
pCi/m2,,,,,,pCi/m2,x,
pCi/m3,,,,,,pCi/L,x * 0.001,
pCi/mL|pCi/ml,,,,,,pCi/L,x * 1000,
pct modern,,,,,,pct modern,x,
PCU,,,,,,PCU,x,
per cm,,,,,,per m,x * 100,
per day,,,,,,per day,x,
per m,,,,,,per nm,x * 1000000000,
per mil,,,,,,ug/kg,x * 1000000,
per nm,,,,,,per nm,x,
pfu/100L|pfu/100l,,,,,,pfu/100mL,x * 1000,
pfu/100mL|pfu/100ml,,,,,,pfu/100mL,x,
pfu/L|pfu/l,,,,,,pfu/100mL,x * 10,
pg,,,,,,g,x * 0.000000000001,
pg/cm3,,,,,,ug/L,x * 0.001,
pg/g,,,,,,ug/kg,x * 0.001,
pg/kg,,,,,,ug/kg,x * 0.000001,
pg/L|pg/l,,,,,,ug/L,x * 0.000001,
pg/m2,,,,,,g/m2,x * 0.000000000001,
pg/m3,,,,,,ug/L,x * 0.000000001,
pg/mL|pg/ml,,,,,,ug/L,x * 0.001,
phi,,,,,,phi,x,
Plate cnt,,,,,,Plate cnt,x,
pmc,,,,,,pmc,x,
pmol/mg/min,,,,,,pmol/mg/min,x,
ppb,,,,,,ug/kg,x,
ppbv,,,,,,ug/kg,x * 11,
ppmv,,,,,,ug/kg,x * 1000,
psf,,,,,,psf,x,
psi,,,,,,g/m2,x * 703069.58,
pt,,,,,,m3,x * 0.000473177,
qt,,,,,,m3,x * 0.000946353,
RFU,,,,,,RFU,x,
RLU,,,,,,RLU,x,
RmV,,,,,,RmV,x,
RU,,,,,,RU,x,
RUDS/10000ft,,,,,,RUDS/10000ft,x,
SBU,,,,,,SBU,x,
Sec,,,,,,Deg,x / 360,
seconds,,,,,,minutes,x / 60,
T.O.N.,,,,,,T.O.N.,x,
T.U.,,,,,,pCi/L,x * 3.22,
tons,,,,,,g,x * 907184.74,
tons/ac ft,,,,,,ug/L,x * 735462.3673,
tons/day,,,,,,lb/day,x * 2000,
tons/day/ft,,,,,,tons/day/ft,x,
tons/ft2,,,,,,tons/ft2,x,
tons/kt,,,,,,tons/kt,x,
tons/sec,,,,,,tons/sec,x,
Torr,,,,,,g/m2,x * 13595.09806,
tsc/100mL|tsc/100ml,,,,,,tsc/100mL,x,
tsc/g,,,,,,tsc/g,x,
TU,,,,,,TU,x,
TUc,,,,,,TUc,x,
uATM,,,,,,atm,x * 0.000001,
uE/m2,,,,,,uE/m2,x,
uE/m2/s,,,,,,uE/m2/s,x,
uE/m2/sec,,,,,,uE/m2/sec,x,
ueq/L|ueq/l,,,,,,meq/L,x * 1000,
ug,,,,,,g,x * 0.000001,
ug/100cm2,,,,,,ug/cm2,x * 0.01,
ug/cart,,,,,,ug/cart,x,
ug/cm2,,,,,,g/m2,x * 0.01,
ug/cm2/30day,,,,,,ug/cm2/30day,x,
ug/cm2/day,,,,,,mg/m2/day,x * 10,
ug/cm3,,,,,,ug/L,x * 1000,
ug/dm2/day,,,,,,ug/dm2/day,x,
